49	NONRIGID	3	37	1.951e+04	[1/18, 9/35, 25/3, 22/5, 7/11, 3/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
50	NONRIGID	4	40	1.545e+40	[1/180, 49/15, 12/7, 25/2, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
51	NONRIGID	3	53	5.122e+22	[1/24, 9/10, 14/3, 11/2, 5/7, 3/11]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:irr
52	NONRIGID	4	35	1.915e+11	[1/270, 14/15, 9/7, 125/2, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
53	NONRIGID	4	35	1.915e+11	[1/270, 7/15, 18/7, 125/2, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
54	NONRIGID	4	36	6.700e+11	[1/270, 98/15, 3/7, 125/2, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
55	NONRIGID	4	38	1.861e+12	[1/270, 98/15, 3/7, 125/2, 7/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
56	NONRIGID	3	10	2.223e+03	[1/30, 14/3, 3/77, 6655/2, 343/5]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:irr
57	NONRIGID	3	67	4.446e+04	[1/30, 21/2, 16/77, 5/7, 44/5]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
58	NONRIGID	3	12	2.973e+03	[1/30, 3/77, 14/3, 6655/2, 343/5]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:irr
59	NONRIGID	3	66	4.446e+04	[1/30, 35/3, 81/77, 2/7, 99/2]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
60	NONRIGID	4	44	2.334e+04	[1/30, 49/15, 22/3, 9/7, 5/11, 7/2]	L:irr v2:irr v3:const0 v5:const0 v7:const0 v11:irr
61	NONRIGID	3	51	3.178e+04	[1/30, 49/15, 9/7, 22/3, 5/11, 7/2]	L:irr v2:const0 v3:irr v5:const0 v7:const0 v11:const0
62	NONRIGID	3	67	6.048e+04	[1/30, 7/2, 12/77, 5/7, 5324/5]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
63	NONRIGID	3	67	6.048e+04	[1/30, 7/3, 45/77, 2/7, 11979/2]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
64	NONRIGID	3	55	3.523e+04	[1/30, 9/7, 49/15, 22/3, 5/11, 7/2]	L:irr v2:const0 v3:irr v5:const0 v7:const0 v11:const0
65	NONRIGID	3	50	2.072e+13	[1/315, 15/22, 4/5, 7/2, 6655/7]	L:irr v2:irr v3:irr v5:const0 v7:const0 v11:const0
66	NONRIGID	4	51	8.523e+17	[1/45, 1372/15, 3/49, 55/2, 3/11]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:irr
67	NONRIGID	3	115	3.853e+07	[1/45, 14/5, 5/847, 43923/2, 7/11]	L:irr v2:irr v3:irr v5:const0 v7:irr v11:irr
68	NONRIGID	4	10	8.711e+40	[1/45, 196/15, 3/7, 125/2, 21/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
69	NONRIGID	4	10	8.711e+40	[1/45, 196/15, 3/7, 125/2, 49/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
70	NONRIGID	1	85	3.005e+11	[1/45, 25/14, 4/55, 99/2, 35/3]	L:irr v2:const2 v3:const1 v5:irr v7:irr v11:irr
71	NONRIGID	3	47	1.338e+21	[1/45, 25/21, 33/5, 4/3, 7/11, 5/2]	L:irr v2:irr v3:irr v5:const0 v7:const0 v11:irr
72	NONRIGID	4	117	3.957e+10	[1/45, 4/35, 25/22, 63/2, 55/3]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:irr
73	NONRIGID	3	115	3.853e+07	[1/45, 5/539, 22/5, 7203/2, 11/7]	L:irr v2:irr v3:irr v5:const0 v7:irr v11:irr
74	NONRIGID	4	44	7.119e+26	[1/45, 686/15, 3/49, 125/2, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:irr
75	NONRIGID	3	53	5.122e+22	[1/54, 4/15, 21/2, 11/3, 5/7, 2/11]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:irr
76	NONRIGID	3	50	1.225e+21	[1/54, 4/15, 21/2, 11/3, 5/7, 3/11]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:irr
77	NONRIGID	3	61	1.397e+40	[1/6, 16/35, 55/2, 3/5, 98/33]	L:georec(3, 16) v2:const0 v3:const0 v5:georec(3, 4) v7:const0 v11:irr
78	NONRIGID	5	26	1.276e+33	[1/6, 175/2, 4/33, 3/7, 121/5, 3/11]	L:irr v2:const0 v3:const0 v5:const0 v7:const0 v11:irr
79	NONRIGID	5	29	4.877e+35	[1/6, 175/2, 4/33, 3/7, 121/5, 7/11]	L:irr v2:const0 v3:const0 v5:const0 v7:const0 v11:irr
80	NONRIGID	2	65	1.083e+27	[1/6, 2/35, 1/5, 715/2, 147/11, 2/39]	L:georec(2, 4) v2:const0 v3:const0 v5:const1 v7:const0 v11:georec(2, 1) v13:irr
81	NONRIGID	3	65	1.083e+27	[1/6, 2/35, 715/2, 1/5, 147/11, 2/39]	L:georec(2, 4) v2:const0 v3:const0 v5:const1 v7:const0 v11:georec(2, 1) v13:irr
82	NONRIGID	3	55	2.353e+04	[1/6, 25/2, 4/35, 11/5, 63/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
83	NONRIGID	3	55	2.353e+04	[1/6, 25/2, 4/35, 33/5, 21/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
84	NONRIGID	3	58	9.873e+24	[1/6, 25/2, 4/35, 99/5, 245/33]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
85	NONRIGID	3	67	2.600e+28	[1/6, 25/2, 4/35, 99/5, 28/33]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
86	NONRIGID	3	55	2.353e+04	[1/6, 25/2, 4/35, 99/5, 7/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
87	NONRIGID	3	67	2.600e+28	[1/6, 25/2, 4/385, 63/5, 44/3]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
88	NONRIGID	3	54	2.331e+04	[1/6, 25/3, 9/35, 11/5, 28/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
89	NONRIGID	3	54	2.331e+04	[1/6, 25/3, 9/35, 22/5, 14/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
90	NONRIGID	3	54	2.331e+04	[1/6, 25/3, 9/35, 44/5, 7/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
91	NONRIGID	3	66	2.166e+28	[1/6, 25/3, 9/385, 28/5, 99/2]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
92	NONRIGID	4	94	9.081e+08	[1/6, 275/21, 9/11, 4/5, 1617/2]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:const0
93	NONRIGID	3	61	1.397e+40	[1/6, 35/2, 16/55, 3/5, 242/21]	L:georec(3, 16) v2:const0 v3:const0 v5:georec(3, 4) v7:irr v11:const0
94	NONRIGID	3	67	4.446e+04	[1/6, 35/2, 16/55, 3/5, 44/21]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
95	POLY	0	113	1.187e+05	[1/6, 35/2, 4/33, 3/5, 121/7, 9/11]	L:const10 v2:const2 v3:const1 v5:const0 v7:arith2 v11:const1
96	NONRIGID	3	69	1.981e+29	[1/6, 35/2, 4/55, 3/5, 29282/21]	L:georec(2, 17) v2:const0 v3:const0 v5:georec(2, 3) v7:irr v11:const0
97	NONRIGID	3	67	6.048e+04	[1/6, 35/2, 4/55, 3/5, 5324/21]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
98	NONRIGID	3	58	4.918e+04	[1/6, 35/2, 4/55, 3/5, 73205/21]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
99	NONRIGID	3	65	1.083e+27	[1/6, 385/2, 2/65, 1/5, 507/7, 2/33]	L:georec(2, 4) v2:const0 v3:const0 v5:const1 v7:georec(2, 1) v11:irr v13:const0
100	NONRIGID	3	52	7.196e+17	[1/6, 385/2, 4/65, 3/25, 13/7, 5/11]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:irr v13:const0
101	NONRIGID	5	29	4.877e+35	[1/6, 4/15, 539/2, 3/11, 25/7, 11/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
102	NONRIGID	5	26	1.276e+33	[1/6, 4/15, 539/2, 3/11, 25/7, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
103	POLY	0	113	1.187e+05	[1/6, 4/15, 77/2, 3/7, 25/11, 9/5]	L:const10 v2:const2 v3:const1 v5:const1 v7:const0 v11:arith2
104	NONRIGID	4	41	1.379e+04	[1/6, 4/35, 11/5, 25/2, 63/11, 5/3]	L:irr v2:const0 v3:const0 v5:const0 v7:const0 v11:irr
105	NONRIGID	3	49	1.958e+04	[1/6, 4/35, 25/2, 11/5, 63/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
106	NONRIGID	3	49	1.958e+04	[1/6, 4/35, 25/2, 33/5, 21/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
107	NONRIGID	3	51	2.135e+22	[1/6, 4/35, 25/2, 99/5, 245/33]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
